Time,Temperature,Humidity,Wind,Pressure,Light,Cloud,Altitude,Battery
Time,Temperature,Humidity,Wind,Pressure,Light,Cloud,Altitude,Battery
0,12.83,46.72,1.35,1008.12,12045,77,100.32,100.87
30,13.26,51.83,1.87,1007.42,11987,79,101.74,98.89
60,12.57,66.41,2.58,1007.63,12021,78,103.35,98.12
90,13.14,63.52,2.15,1007.18,12067,76,104.08,97.31
120,12.37,70.45,2.03,1006.92,11978,79,105.81,95.97
150,13.06,57.12,3.27,1006.35,12032,77,106.48,94.52
180,13.24,49.73,3.18,1007.09,11994,78,106.69,93.14
210,12.38,63.62,1.57,1007.54,12056,76,108.23,92.09
240,12.84,64.19,3.73,1006.83,12012,79,107.89,90.61
270,12.76,54.12,1.83,1006.72,12037,77,109.47,90.08
300,12.23,60.43,3.57,1007.41,11968,78,110.11,88.46
330,12.47,60.61,3.04,1006.32,12042,79,109.19,86.97
360,12.27,87.72,3.36,1007.58,12015,77,110.14,86.29
390,12.14,85.93,3.92,1007.35,11993,78,110.76,84.81
420,12.43,67.89,2.64,1008.46,12028,79,111.59,83.52
450,12.76,71.92,4.07,1007.48,12062,77,111.34,82.59
480,11.83,56.42,3.03,1007.74,11989,78,111.58,81.47
510,11.64,75.28,3.23,1008.57,12036,76,110.04,80.28
540,12.36,76.41,3.58,1007.12,11974,79,109.92,79.18
570,11.57,72.03,4.37,1008.52,12047,78,110.25,77.82
600,11.94,76.73,3.53,1007.89,12031,77,110.93,75.98
630,12.18,84.31,2.13,1008.72,11987,78,108.72,75.06
660,12.53,71.89,3.24,1007.93,12015,79,109.37,73.67
690,12.34,51.72,3.38,1007.84,12053,77,107.65,72.61
720,12.57,61.24,4.17,1008.87,11996,78,108.51,71.95
750,12.93,64.47,4.05,1007.23,12037,76,106.28,71.04
780,12.64,52.31,1.93,1008.31,12018,78,106.17,69.42
810,12.76,73.14,3.36,1008.42,11975,79,104.28,68.46
840,12.87,75.42,1.97,1009.13,12041,77,104.27,67.02
870,13.05,60.38,2.54,1009.57,12006,78,103.71,66.04
900,13.57,57.73,2.47,1008.52,12028,76,101.68,64.87
930,14.26,52.53,2.18,1009.62,11993,79,101.54,63.24
960,13.84,59.62,3.23,1010.03,12057,77,100.21,61.97
990,14.06,69.12,1.97,1009.84,12016,78,98.91,61.12
1020,13.65,56.74,2.34,1010.52,11984,79,98.42,60.03
1050,14.37,62.63,1.68,1008.97,12031,77,97.45,58.71
1080,14.04,58.24,2.32,1010.35,12007,78,96.85,57.72
1110,14.92,80.43,1.27,1010.48,11976,79,96.17,55.93
1140,14.57,78.92,1.23,1009.18,12023,77,94.89,55.07
1170,15.46,53.51,1.18,1010.21,12004,78,94.35,53.47
1200,14.65,61.21,2.43,1010.32,11987,79,94.38,52.86
1230,15.03,46.61,1.63,1011.62,12045,76,92.56,51.76
1260,14.87,70.63,1.67,1011.21,11998,78,92.28,50.41
1290,14.83,56.92,1.04,1011.53,12026,77,91.23,48.65
1320,14.86,55.42,1.37,1011.48,11974,79,90.63,47.79
1350,14.53,73.58,1.42,1010.83,12037,78,91.16,46.35
1380,15.27,83.92,1.57,1012.28,12012,77,91.87,45.61
1410,15.84,66.52,1.53,1011.64,11985,79,90.95,43.71
1440,15.24,50.03,0.97,1012.36,12026,77,91.07,42.74
1470,14.82,55.63,1.94,1011.76,11993,78,90.21,41.59
1500,15.14,79.32,1.18,1010.97,12018,76,91.35,40.21
1530,14.17,54.31,2.03,1011.14,12042,79,91.62,39.79
1560,15.54,58.94,0.57,1012.57,12001,77,91.32,37.86
1590,14.35,63.42,1.14,1013.05,11975,78,93.56,37.19
1620,14.76,65.41,0.97,1010.97,12032,76,92.91,35.31
1650,14.37,64.83,1.28,1012.53,12008,79,93.28,34.45
1680,14.74,89.35,0.83,1012.24,11987,78,94.73,33.18
1710,14.36,63.31,0.76,1013.08,12049,77,95.82,32.27
1740,14.43,64.81,1.92,1012.43,11996,79,96.27,31.23
1770,14.06,73.24,1.83,1012.74,12021,78,96.42,29.31
